mh_level,scope_id,dataset_name,dataset_granularity,scope_kind,scope_market,detector_combination,test_case_name,anomaly_case,precision,recall,f1,true_negative_rate,false_positive_rate,false_negative_rate,g_mean,tp,fp,fn,tn,positive_count,negative_count,predicted_positive_count
mh10,COMPETITOR_1_COUNTRY_1,COMPETITOR_1_COUNTRY_1,competitor,competitor,B2B,IF,combined,zero_price,0.0249635947576451,1.0,0.05692031804359847,0.5082706766917293,0.4917293233082707,0.0,0.7216031094522779,360.0,14061.0,0.0,14534.0,360.0,28595.0,14421.0
mh15,COMPETITOR_1_COUNTRY_1,COMPETITOR_1_COUNTRY_1,competitor,competitor,B2B,IF,combined,zero_price,0.025290176465037274,1.0,0.07300196841223393,0.5114464099895941,0.4885535900104058,0.0,0.7817372128018096,268.0,10329.0,0.0,10813.0,268.0,21142.0,10597.0
mh20,COMPETITOR_1_COUNTRY_1,COMPETITOR_1_COUNTRY_1,competitor,competitor,B2B,IF,combined,zero_price,0.03811416184971098,1.0,0.09169051106709067,0.6739130434782609,0.32608695652173914,0.0,0.8460713075887965,211.0,5325.0,0.0,11005.0,211.0,16330.0,5536.0
mh25,COMPETITOR_1_COUNTRY_1,COMPETITOR_1_COUNTRY_1,competitor,competitor,B2B,IF,combined,zero_price,0.03948473816858023,0.8703703703703703,0.10967048415746594,0.7376673040152963,0.26233269598470366,0.12962962962962962,0.8571020484909233,141.0,3430.0,21.0,9645.0,162.0,13075.0,3571.0
mh30,COMPETITOR_1_COUNTRY_1,COMPETITOR_1_COUNTRY_1,competitor,competitor,B2B,IF,combined,zero_price,0.04959848842701937,0.8974358974358975,0.12597482517482517,0.7908088999792057,0.20919110002079436,0.10256410256410256,0.8825309407771226,105.0,2012.0,12.0,7606.0,117.0,9618.0,2117.0
mh5,COMPETITOR_1_COUNTRY_1,COMPETITOR_1_COUNTRY_1,competitor,competitor,B2B,IF,combined,zero_price,0.04234363161882313,0.8510998307952623,0.09589778172625398,0.7586558044806517,0.24134419551934827,0.14890016920473773,0.8386120810642059,503.0,11376.0,88.0,35760.0,591.0,47136.0,11879.0
mh10,COMPETITOR_1_COUNTRY_1,COMPETITOR_1_COUNTRY_1,competitor,competitor,B2B,Z-score,combined,currency_swap,0.07136894824707847,0.8571428571428571,0.15921746323143138,0.8441658495587617,0.15583415044123827,0.14285714285714285,0.8931792834009048,342.0,4450.0,57.0,24106.0,399.0,28556.0,4792.0
mh15,COMPETITOR_1_COUNTRY_1,COMPETITOR_1_COUNTRY_1,competitor,competitor,B2B,Z-score,combined,currency_swap,0.05587971274685817,0.8586206896551725,0.13312128760298908,0.8008049242424242,0.19919507575757575,0.1413793103448276,0.8834789664098475,249.0,4207.0,41.0,16913.0,290.0,21120.0,4456.0
mh20,COMPETITOR_1_COUNTRY_1,COMPETITOR_1_COUNTRY_1,competitor,competitor,B2B,Z-score,combined,currency_swap,0.051969823973176864,0.8416289592760181,0.10648022993863124,0.7920955882352941,0.2079044117647059,0.1583710407239819,0.8699975166387992,186.0,3393.0,35.0,12927.0,221.0,16320.0,3579.0
mh25,COMPETITOR_1_COUNTRY_1,COMPETITOR_1_COUNTRY_1,competitor,competitor,B2B,Z-score,combined,currency_swap,0.04709814646004254,0.8757062146892656,0.10354981711531004,0.7598774885145483,0.24012251148545177,0.12429378531073447,0.8668244726478473,155.0,3136.0,22.0,9924.0,177.0,13060.0,3291.0
mh30,COMPETITOR_1_COUNTRY_1,COMPETITOR_1_COUNTRY_1,competitor,competitor,B2B,Z-score,combined,currency_swap,0.04165074512800917,0.872,0.07568150905041629,0.7390218522372528,0.26097814776274714,0.128,0.8549740670462208,109.0,2508.0,16.0,7102.0,125.0,9610.0,2617.0
mh5,COMPETITOR_1_COUNTRY_1,COMPETITOR_1_COUNTRY_1,competitor,competitor,B2B,Z-score,combined,currency_swap,0.07428488032691186,0.809220985691574,0.1491626231607488,0.8653233682958936,0.13467663170410632,0.1907790143084261,0.8826542728137217,509.0,6343.0,120.0,40755.0,629.0,47098.0,6852.0
mh10,COMPETITOR_1_COUNTRY_1,COMPETITOR_1_COUNTRY_1,competitor,competitor,B2B,Z-score,combined,decimal_shift,0.05801335559265442,0.7679558011049724,0.13515153967547447,0.842129192459693,0.15787080754030708,0.23204419889502761,0.8725470624678325,278.0,4514.0,84.0,24079.0,362.0,28593.0,4792.0
mh15,COMPETITOR_1_COUNTRY_1,COMPETITOR_1_COUNTRY_1,competitor,competitor,B2B,Z-score,combined,decimal_shift,0.050942549371633755,0.8345588235294118,0.12968027421026054,0.7999337685684549,0.2000662314315451,0.16544117647058823,0.8738778183259674,227.0,4229.0,45.0,16909.0,272.0,21138.0,4456.0
mh20,COMPETITOR_1_COUNTRY_1,COMPETITOR_1_COUNTRY_1,competitor,competitor,B2B,Z-score,combined,decimal_shift,0.04973456272701872,0.8317757009345794,0.11410954922580985,0.7916947387762602,0.20830526122373982,0.16822429906542055,0.84477920391126,178.0,3401.0,36.0,12926.0,214.0,16327.0,3579.0
mh25,COMPETITOR_1_COUNTRY_1,COMPETITOR_1_COUNTRY_1,competitor,competitor,B2B,Z-score,combined,decimal_shift,0.04861744150714069,0.8556149732620321,0.12901508941866818,0.7600766283524905,0.23992337164750957,0.1443850267379679,0.8566602042349829,160.0,3131.0,27.0,9919.0,187.0,13050.0,3291.0
mh30,COMPETITOR_1_COUNTRY_1,COMPETITOR_1_COUNTRY_1,competitor,competitor,B2B,Z-score,combined,decimal_shift,0.042414978983568975,0.8409090909090909,0.11732308733265667,0.7390398833697803,0.26096011663021973,0.1590909090909091,0.8486652689069213,111.0,2506.0,21.0,7097.0,132.0,9603.0,2617.0
mh5,COMPETITOR_1_COUNTRY_1,COMPETITOR_1_COUNTRY_1,competitor,competitor,B2B,Z-score,combined,decimal_shift,0.06436077057793345,0.7411764705882353,0.1302589012825499,0.8639777645760842,0.1360222354239158,0.25882352941176473,0.8452514857628696,441.0,6411.0,154.0,40721.0,595.0,47132.0,6852.0
mh10,COMPETITOR_1_COUNTRY_1,COMPETITOR_1_COUNTRY_1,competitor,competitor,B2B,Z-score,combined,extreme_outlier,0.05133555926544241,0.7477203647416414,0.11275666072634294,0.8411933207573534,0.15880667924264655,0.25227963525835867,0.8498010979171474,246.0,4546.0,83.0,24080.0,329.0,28626.0,4792.0
mh15,COMPETITOR_1_COUNTRY_1,COMPETITOR_1_COUNTRY_1,competitor,competitor,B2B,Z-score,combined,extreme_outlier,0.043761220825852785,0.8024691358024691,0.10834308476951555,0.7986960835262437,0.2013039164737563,0.19753086419753085,0.8716109193703886,195.0,4261.0,48.0,16906.0,243.0,21167.0,4456.0
mh20,COMPETITOR_1_COUNTRY_1,COMPETITOR_1_COUNTRY_1,competitor,competitor,B2B,Z-score,combined,extreme_outlier,0.046381670857781505,0.8469387755102041,0.10115452127016154,0.7911899663505659,0.20881003364943407,0.15306122448979592,0.8700595043568321,166.0,3413.0,30.0,12932.0,196.0,16345.0,3579.0
mh25,COMPETITOR_1_COUNTRY_1,COMPETITOR_1_COUNTRY_1,competitor,competitor,B2B,Z-score,combined,extreme_outlier,0.040413248252810695,0.8260869565217391,0.09488490675990677,0.7584888345059652,0.24151116549403487,0.17391304347826086,0.8574352602766763,133.0,3158.0,28.0,9918.0,161.0,13076.0,3291.0
mh30,COMPETITOR_1_COUNTRY_1,COMPETITOR_1_COUNTRY_1,competitor,competitor,B2B,Z-score,combined,extreme_outlier,0.04126862820022927,0.84375,0.09774050634152655,0.7388362652232747,0.26116373477672533,0.15625,0.8497728384281948,108.0,2509.0,20.0,7098.0,128.0,9607.0,2617.0
